title,company,location,remote_or_onsite,job_type,link
Senior ASIC Verification Engineer - GPU,NVIDIA,"Hybrid work in Hillsboro, OR 97124",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=56aab5dbca2082e4&bb=B7ETVXU6zSbqYCxaAulugV0VivqpLpUuoH97OzNQHM8R9Ikkfy_lMFFPxaE-Iyk2W-ipdCif0iMqVdSRgb0XTx60j8coEL0ipgGvbU195smHG9aVzeB-2jfYn9S_pKpWWjLDudK5nSc%3D&xkcb=SoB667M3vh0zJsWEhB0KbzkdCdPP&fccid=c267f29f0f85e8b8&vjs=3
Design Verification Engineer (GPU),BayOne,"Hybrid work in San Jose, CA",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=c263ee8945d28462&bb=B7ETVXU6zSbqYCxaAulugb-C4IhEST7ywhl6JbMOM5U1pwSLUh8Uf5BOR_cCarjYFlDR32T_XZ6QaLqHYDA5KsqCN_nEFXlJBnkJNlDaXHTGvr8ynASyfFkBBEu42Mp6RK_0jna5t34%3D&xkcb=SoDn67M3vh0zJsWEhB0JbzkdCdPP&fccid=f7b2d477df13840f&vjs=3
Reliability Engineer I,Markem-Imaje,"Keene, NH 03431",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=3ca6cb090ac922c5&bb=B7ETVXU6zSbqYCxaAulugcl15bE_Mds2Fv90yxzV7la9OSne0uKfSQGzFYOpJ6hnwDLCIvY0ymUfrc6VTWxw5kvqIKvqnTtxSS1lSLm86e0XK_eUUGy36IyN3u7uY6G_n3MeYBijJag%3D&xkcb=SoBT67M3vh0zJsWEhB0IbzkdCdPP&fccid=d7e3c1bac6a3cfe7&vjs=3
"Sr. DFT Verification Engineer, Dojo",Tesla,"Fort Collins, CO 80525",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=e6d354a50d4b7101&bb=B7ETVXU6zSbqYCxaAulugVTUDUFMwAqZscq1AXTbbyluwEN3-qRNo4UO1LBSIBEbRfSR5MIUre5gmTjP2EaqAQg3pSVq7IeUUZDCrs1JqkpUBVz5-yo_bkWcF6ugEQ8YA5LBCKpJ0RQ%3D&xkcb=SoDd67M3vh0zJsWEhB0PbzkdCdPP&fccid=86e9be6ce380173e&vjs=3
"Senior Software Engineer, Robotics & Automation",Atomic Machines,"Emeryville, CA",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=d5e7ab89f6bffe06&bb=B7ETVXU6zSbqYCxaAulugbM05xRSn2DcZnWhMUa-U1MqUkCga0xzwXSO3Xw-CPQhruVFibsTtLV1GS7sPLDpzcFU4k0y_XJPDP0WrmsREjOXhWGw50GTC8jPqfxF5kKpbkb7lQvHle0%3D&xkcb=SoBp67M3vh0zJsWEhB0ObzkdCdPP&fccid=38362f7b94e56b63&vjs=3
Controls Engineer,Hitachi,"Jefferson City, MO",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=77431c2a0aab9759&bb=B7ETVXU6zSbqYCxaAulugac7EJ_V6Fwjn4IYzlML_bu92yYK8YIL-5fLdJVO4NChItf79wZP9xfP6IMP5m3YuvypskPAE0TjPHv7WbEWEIQnqp6V-ESai0GXZWAjmECvRwTVWqXuOLE%3D&xkcb=SoD067M3vh0zJsWEhB0NbzkdCdPP&fccid=28f79c18789111e8&vjs=3
Research Support & System Software Engineer,The University of Chicago,"Chicago, IL 60637 
(Woodlawn area)",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=94518b4b5984dcc6&bb=B7ETVXU6zSbqYCxaAulugXg7SI8QCsuuMgXueG6WzZ9lFR4Ii1aTY7FiRzGKk5uwkgqHeBUKZDBJFbTAm68_lc4oWDXTorKRgMwPdE3-n0TIn-DLckpArNA_9HWKZ_BBj-4502C9Id8%3D&xkcb=SoBA67M3vh0zJsWEhB0MbzkdCdPP&fccid=5cb727313a823dd6&vjs=3
"Software Engineer, New Products (all levels)",EvenUp,"Hybrid work in San Francisco, CA",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=667c37a4a1f53173&bb=B7ETVXU6zSbqYCxaAulugVvMEEXbC0WTxGLEtNuoGGcXko1xd53HrvWE9BlQ8riwUnt3mnTYyhDxgyv0mdmQQWQtjt0aVLzWFTLdK01_8PNFH4exPoCkP6XkpRmbWqA4eHNb3njmq90%3D&xkcb=SoCp67M3vh0zJsWEhB0DbzkdCdPP&fccid=8f5ae1e82765d929&vjs=3
Senior Hardware Validation Engineer,NVIDIA,"Santa Clara, CA 95050",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=161fd980ad0e2533&bb=B7ETVXU6zSbqYCxaAulugRZsz57KLKnjKtr4BhCbxx4ymN1YJtrhqo971LNte6jyPjpL_WqOYkYdI-M_7xqaxrXjE5zN4Nkgr_gya-1lX11cb6TG3vbw6bkC4SWIPMBMW_KGBXl1FCo%3D&xkcb=SoAd67M3vh0zJsWEhB0CbzkdCdPP&fccid=c267f29f0f85e8b8&vjs=3
Wi-Fi Software Engineer (Starlink),SpaceX,"Bastrop, TX",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=8cf4866b3ba97c03&bb=B7ETVXU6zSbqYCxaAulugQGAUEzPHvY617pQwgBjbk-hArwEIdwzos_fWTUWJWggfGehP8_7xFg8UvVD-WsAVso_v61M-kVn9OS6yhEqweV49XeK2OjsDY9gY9b-RqHIl2W_512y4II%3D&xkcb=SoCA67M3vh0zJsWEhB0BbzkdCdPP&fccid=8bc01be85b97ce0d&vjs=3
Software Development Engineer - Test,Apple,"Cupertino, CA",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=dfdaa915f68286aa&bb=B7ETVXU6zSbqYCxaAulugdCnhXtrXDxblkuDBFXYUr2scukJ3Jm2KUlMnW3E9eJxavKgoFaIE5OEYvnpKSayWFAKcS7jJrQaZ0uyd5Pb4VkFc04P9Zkh5b7lSvuCG_ecaIp0oT80mEo%3D&xkcb=SoA067M3vh0zJsWEhB0AbzkdCdPP&fccid=c1099851e9794854&vjs=3
Optical Research Engineer,3M,"Maplewood, MN",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=2ccabba6dc5be642&bb=B7ETVXU6zSbqYCxaAulugRs6v6cSgj2hZTd0ZZeTZqzEf7RlrJhOpoiVc5nj2CaY-JO9XJnRFUmp1chON19AyiQVTk-fSgv3ptstdyqH-gtZVIOA1cSqPIsgHahDoQ0CU24qgUA3vmM%3D&xkcb=SoC667M3vh0zJsWEhB0HbzkdCdPP&fccid=595d42593839d3a2&vjs=3
Perception Engineer - Computer Vision/Machine Learning,Forterra,"Clarksburg, MD 20871",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=7f3b0a0bd1a3e289&bb=B7ETVXU6zSbqYCxaAulugZ1LKZd8iMZAiUeKD4r0Jb3w4UaRvW79rUebvuUrGFe2ePU7R7r1-8XXP8U7iUrcy7JALOBm3oA1W7HX3k4d_f499aJ0XlCs6BnbPkmYNy320fSwGDDrce8%3D&xkcb=SoAO67M3vh0zJsWEhB0GbzkdCdPP&fccid=c9d4097028a67852&vjs=3
Sr. Product Engineer,Imbue,"San Francisco, CA",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=75a9ac08c080422c&bb=B7ETVXU6zSbqYCxaAulugUNIyml3H0O-tVG5meQPqPSrTi1pzwPruq5M1fw-WMooJJAVcGCPeXIEHW0wQOCOpmrNmXTzEAzdPz3qr0SHqvHdnQWP8kA5bGY89mIXeD8EGNBBaD3CFuI%3D&xkcb=SoCT67M3vh0zJsWEhB0FbzkdCdPP&fccid=d9a358b139860c01&vjs=3
Electrical/Computer Engineer,Pitch Aeronautics Inc.,"Boise, ID",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=fa88b03dd34fb09e&bb=wFxexYxMJ9RxcctxHW_df1X3WdecHZqDylEvAYiC2qCPFEF8LL1Yoih1TkXTzIByWSVk3-9wZP2313SljkvSbz9oSp0QFVHXDr6eR1cgvEU_XB1J52wsDKMp3PtezExUKJMtPz6W5SI%3D&xkcb=SoAF67M3vh0x3xwEIJ0LbzkdCdPP&fccid=d68dddf553f05143&vjs=3
"ASIC Engineer, Formal Verification",Meta,Remote,Remote,Full-time,https://www.indeed.com/rc/clk?jk=b50ee8bd7998c8c3&bb=wFxexYxMJ9RxcctxHW_dfw2KJ0K_39f0-8Ay-czf4UhnnVMjlPruElst6XT0OxCoxp4FomRagfgnD6W5UE4yB__IGBU8mrd1trnfDctiFL43aEY1DXre1poFh1P7xF9v&xkcb=SoCx67M3vh0x3xwEIJ0KbzkdCdPP&fccid=ba07516c418dda52&vjs=3
"Software Engineer, Perception",Aurora Operations,"Mountain View, CA",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=0f28b145d277c679&bb=wFxexYxMJ9RxcctxHW_df8aNKfKMVi3b-ZNFuu_XNCwc0KOw_iuDNryQPrsHVBUaZ3A96K7eQmg_Kae10lCvLgSa8z0v0YEFzOPvIqJ8kH6EGVYIhfjbl6BXmZrqRvPJdHJbL-sv6wA%3D&xkcb=SoAs67M3vh0x3xwEIJ0JbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
Software Engineer I - Artificial Intelligence in Underwriting,"The Travelers Companies, Inc.","Hybrid work in Saint Paul, MN 55101",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=240ee61709e01671&bb=wFxexYxMJ9RxcctxHW_df9xG2LlGXhFBBFWi7QIsV_glPgbgy0Dhg0USxYVv0NDwnxxPq-h9opfsraAfNJUujk9oFM6OKp7hVMbzIdhK26vfWoV0FpJZwoBulWBuAM-1yOb2rGNap3Y%3D&xkcb=SoCY67M3vh0x3xwEIJ0IbzkdCdPP&fccid=614604a6208fa23b&vjs=3
FE Design and Timing Analysis Integration Engineer,Apple,"Sunnyvale, CA",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=89a0cae2c3e78fc7&bb=wFxexYxMJ9RxcctxHW_df3uSZXojKCWHsgqGBqYlXAzKTv2pWknQKQ97xXTfYqXSSoB00pOEWsxxMs8y62bZSqqk1vIpXhPszH23b3NlFpBR5to-WffJKV6gDOOzaBhw7keb5vwHMRw%3D&xkcb=SoAW67M3vh0x3xwEIJ0PbzkdCdPP&fccid=c1099851e9794854&vjs=3
"Hardware Engineer, Health Sensing",Oura,"San Diego, CA",Onsite,Full-time,https://www.indeed.com/rc/clk?jk=e429b502f4670727&bb=wFxexYxMJ9RxcctxHW_df8GLQIFYDor5LmvU2qStNS4I7WCF66rfHoyGFVyvA86FODsDspSSzjwVQW9ismkdFKsvcFLQtEfHCWj7KsMMSzEi574IyZcTD5JiZSQQnOQGKwMEFP8nYWk%3D&xkcb=SoCi67M3vh0x3xwEIJ0ObzkdCdPP&fccid=79052c2d5d41c361&vjs=3
